,Iteration,Fitness,Time,State,pop_size,keep_pct,use_fast_mimic,max_iters,Population Size,Keep Percent
46,8,807.9479884365329,4.200621957999829,[19 15 10 12 20  9 17  7 16  0 14  2  1 13 11  3  6  4 21  5  8 18],300,0.5,True,4096,300,0.5
47,16,743.6859533992193,8.43061095899975,[15 18  2 19  8  9 17  5 12  0 14 20  1 13  6  3 10  4  7 16 11 21],300,0.5,True,4096,300,0.5
48,32,743.6859533992193,17.574878716000057,[15 18  2 19  8  9 17  5 12  0 14 20  1 13  6  3 10  4  7 16 11 21],300,0.5,True,4096,300,0.5
49,64,743.6859533992193,35.811197471000014,[15 18  2 19  8  9 17  5 12  0 14 20  1 13  6  3 10  4  7 16 11 21],300,0.5,True,4096,300,0.5
50,128,743.6859533992193,72.00038647200017,[15 18  2 19  8  9 17  5 12  0 14 20  1 13  6  3 10  4  7 16 11 21],300,0.5,True,4096,300,0.5
51,256,743.6859533992193,146.29775783999958,[15 18  2 19  8  9 17  5 12  0 14 20  1 13  6  3 10  4  7 16 11 21],300,0.5,True,4096,300,0.5
52,512,743.6859533992193,294.5273646730002,[15 18  2 19  8  9 17  5 12  0 14 20  1 13  6  3 10  4  7 16 11 21],300,0.5,True,4096,300,0.5
53,1024,743.6859533992193,582.5534651809994,[15 18  2 19  8  9 17  5 12  0 14 20  1 13  6  3 10  4  7 16 11 21],300,0.5,True,4096,300,0.5
54,2048,743.6859533992193,1120.7722870979997,[15 18  2 19  8  9 17  5 12  0 14 20  1 13  6  3 10  4  7 16 11 21],300,0.5,True,4096,300,0.5
55,4096,743.6859533992193,1905.4942897359997,[15 18  2 19  8  9 17  5 12  0 14 20  1 13  6  3 10  4  7 16 11 21],300,0.5,True,4096,300,0.5
56,0,1211.1046030266018,0.023958355000104348,[ 1  5  2 21 19 12 11  0 20  6 18 16 13 10 17  9  8 14  7  3  4 15],500,0.25,True,4096,500,0.25
57,1,852.129478423839,0.589566528999967,[ 6 21 11 17 15  4 13  1  0 10  9  5 14  3 12 19  2 20  8 18  7 16],500,0.25,True,4096,500,0.25
58,2,815.4368604957554,1.1349128470001233,[11  6 21 20 15  3  4 13 18 19  5 12  0  9 17  8  2  1 16  7 14 10],500,0.25,True,4096,500,0.25
59,4,673.6966131879801,2.2097804240002006,[ 5 21 11  6 10  3  4 13  1 19  8  9  2 18 14 20 16  0 15  7 12 17],500,0.25,True,4096,500,0.25
60,8,662.5838312607161,4.5113558800003375,[ 0  1 19 13  4 15  7 17 10 16 21  6 11  3 12  5 14  9  8 18  2 20],500,0.25,True,4096,500,0.25
61,16,646.6891493847774,8.957681807999506,[ 0  3  1 13  4 19 17 10  7 16 21  6 11 15 12  5 20  9  8 18  2 14],500,0.25,True,4096,500,0.25
62,32,646.6891493847774,18.955777414000295,[ 0  3  1 13  4 19 17 10  7 16 21  6 11 15 12  5 20  9  8 18  2 14],500,0.25,True,4096,500,0.25
63,64,646.6891493847774,39.32795790399996,[ 0  3  1 13  4 19 17 10  7 16 21  6 11 15 12  5 20  9  8 18  2 14],500,0.25,True,4096,500,0.25
64,128,646.6891493847774,80.24677182699998,[ 0  3  1 13  4 19 17 10  7 16 21  6 11 15 12  5 20  9  8 18  2 14],500,0.25,True,4096,500,0.25
65,256,646.6891493847774,164.7772595180004,[ 0  3  1 13  4 19 17 10  7 16 21  6 11 15 12  5 20  9  8 18  2 14],500,0.25,True,4096,500,0.25
66,512,646.6891493847774,326.5388392499999,[ 0  3  1 13  4 19 17 10  7 16 21  6 11 15 12  5 20  9  8 18  2 14],500,0.25,True,4096,500,0.25
67,1024,646.6891493847774,637.3733501059996,[ 0  3  1 13  4 19 17 10  7 16 21  6 11 15 12  5 20  9  8 18  2 14],500,0.25,True,4096,500,0.25
68,2048,646.6891493847774,1248.2967319420004,[ 0  3  1 13  4 19 17 10  7 16 21  6 11 15 12  5 20  9  8 18  2 14],500,0.25,True,4096,500,0.25
69,4096,646.6891493847774,2546.565177634,[ 0  3  1 13  4 19 17 10  7 16 21  6 11 15 12  5 20  9  8 18  2 14],500,0.25,True,4096,500,0.25
70,0,1211.1046030266018,0.020705013999759103,[ 1  5  2 21 19 12 11  0 20  6 18 16 13 10 17  9  8 14  7  3  4 15],500,0.5,True,4096,500,0.5
71,1,857.4588900765639,0.5712593120006204,[ 2  9 20  7 11 16 13 21  3  6 15 10  0  5 14 18  1  4 17 12 19  8],500,0.5,True,4096,500,0.5
72,2,857.4588900765639,1.138578187999883,[ 2  9 20  7 11 16 13 21  3  6 15 10  0  5 14 18  1  4 17 12 19  8],500,0.5,True,4096,500,0.5
