,Iteration,Fitness,Time,State,pop_size,keep_pct,use_fast_mimic,max_iters,Population Size,Keep Percent
32,8,1619.0,1.6451325369998813,"[ 5.  9.  5. 18. 19. 19. 18.  9. 14.  6. 18.  7. 19. 11. 16. 17. 13. 19.
  2. 12. 14. 15. 18. 15. 17.  9. 13.  1. 18. 12. 15.  7. 18.  6. 18.]",300,0.25,True,4096,300,0.25
33,16,1690.0,3.1353118459999223,"[ 1. 16.  1. 18. 19. 18. 16. 10. 14.  1. 18.  7. 19. 14. 16. 19. 15. 17.
  1. 12. 13. 19. 18. 15. 17. 16. 16. 16.  7. 12.  9.  9. 18. 18. 19.]",300,0.25,True,4096,300,0.25
34,32,1690.0,8.781586257999834,"[ 1. 16.  1. 18. 19. 18. 16. 10. 14.  1. 18.  7. 19. 14. 16. 19. 15. 17.
  1. 12. 13. 19. 18. 15. 17. 16. 16. 16.  7. 12.  9.  9. 18. 18. 19.]",300,0.25,True,4096,300,0.25
35,64,1690.0,20.230617123000002,"[ 1. 16.  1. 18. 19. 18. 16. 10. 14.  1. 18.  7. 19. 14. 16. 19. 15. 17.
  1. 12. 13. 19. 18. 15. 17. 16. 16. 16.  7. 12.  9.  9. 18. 18. 19.]",300,0.25,True,4096,300,0.25
36,128,1690.0,42.45685093099996,"[ 1. 16.  1. 18. 19. 18. 16. 10. 14.  1. 18.  7. 19. 14. 16. 19. 15. 17.
  1. 12. 13. 19. 18. 15. 17. 16. 16. 16.  7. 12.  9.  9. 18. 18. 19.]",300,0.25,True,4096,300,0.25
37,256,1690.0,81.19633009699987,"[ 1. 16.  1. 18. 19. 18. 16. 10. 14.  1. 18.  7. 19. 14. 16. 19. 15. 17.
  1. 12. 13. 19. 18. 15. 17. 16. 16. 16.  7. 12.  9.  9. 18. 18. 19.]",300,0.25,True,4096,300,0.25
38,512,1690.0,158.46864172999994,"[ 1. 16.  1. 18. 19. 18. 16. 10. 14.  1. 18.  7. 19. 14. 16. 19. 15. 17.
  1. 12. 13. 19. 18. 15. 17. 16. 16. 16.  7. 12.  9.  9. 18. 18. 19.]",300,0.25,True,4096,300,0.25
39,1024,1690.0,294.44931880399986,"[ 1. 16.  1. 18. 19. 18. 16. 10. 14.  1. 18.  7. 19. 14. 16. 19. 15. 17.
  1. 12. 13. 19. 18. 15. 17. 16. 16. 16.  7. 12.  9.  9. 18. 18. 19.]",300,0.25,True,4096,300,0.25
40,2048,1690.0,294.44931880399986,"[ 1. 16.  1. 18. 19. 18. 16. 10. 14.  1. 18.  7. 19. 14. 16. 19. 15. 17.
  1. 12. 13. 19. 18. 15. 17. 16. 16. 16.  7. 12.  9.  9. 18. 18. 19.]",300,0.25,True,4096,300,0.25
41,4096,1690.0,294.44931880399986,"[ 1. 16.  1. 18. 19. 18. 16. 10. 14.  1. 18.  7. 19. 14. 16. 19. 15. 17.
  1. 12. 13. 19. 18. 15. 17. 16. 16. 16.  7. 12.  9.  9. 18. 18. 19.]",300,0.25,True,4096,300,0.25
42,0,1064.0,0.011357588000009855,"[15  4  3 19  7 14  8 14 10  8  7  6  4 16  7 12  0 11  6 19 12  5 16  0
  2  9 14  6  4 14  9  3  3  8 19]",300,0.5,True,4096,300,0.5
