,Iteration,Fitness,Time,State,pop_size,mutation_prob,max_iters,Population Size,Mutation Rate
54,64,630.2441566291824,1.1092534590000014,[ 7 17 19 15 16 21  0  2  8 18 14 20  5  9 12  6 11  4 13  1 10  3],100,1.0,2048,100,1.0
55,128,630.2441566291824,2.1950932410000235,[ 7 17 19 15 16 21  0  2  8 18 14 20  5  9 12  6 11  4 13  1 10  3],100,1.0,2048,100,1.0
56,256,630.2441566291824,4.384504939999999,[ 7 17 19 15 16 21  0  2  8 18 14 20  5  9 12  6 11  4 13  1 10  3],100,1.0,2048,100,1.0
57,512,630.2441566291824,8.774473397000008,[ 7 17 19 15 16 21  0  2  8 18 14 20  5  9 12  6 11  4 13  1 10  3],100,1.0,2048,100,1.0
58,1024,630.2441566291824,17.57986277500001,[ 7 17 19 15 16 21  0  2  8 18 14 20  5  9 12  6 11  4 13  1 10  3],100,1.0,2048,100,1.0
59,2048,630.2441566291824,17.86280548100001,[ 7 17 19 15 16 21  0  2  8 18 14 20  5  9 12  6 11  4 13  1 10  3],100,1.0,2048,100,1.0
60,0,1211.1046030266018,0.01749297999998589,[ 1  5  2 21 19 12 11  0 20  6 18 16 13 10 17  9  8 14  7  3  4 15],300,0.2,2048,300,0.2
61,2,855.5650660293568,0.13037181999999348,[19 18 14 12  4 17 15  3 13 20  5  8  2  0  7  6 16 10 11 21  9  1],300,0.2,2048,300,0.2
62,4,839.5754825646127,0.24644090199998914,[ 9 20 15  4 21 16 14 17  1  8 18  2  5  0 19 13  7 11  6  3 12 10],300,0.2,2048,300,0.2
63,8,764.511840532593,0.47438783100000137,[ 4 13 19  9 20 15 21 16 14 17  8 18  2  5  0  1  7 11  6  3 12 10],300,0.2,2048,300,0.2
64,16,764.37141457827,0.9384628040000109,[ 4 13 19  9 20 15 21 16 14 17  8 18  2  5 12  1  7 11  6 10  0  3],300,0.2,2048,300,0.2
65,32,720.5406014966812,1.8584408659999951,[ 4 13 19  8  0 18  2  1  3 11  6 16 21 20  9  5 17 15 14 12  7 10],300,0.2,2048,300,0.2
66,64,641.618769614281,3.6802131729999985,[ 4 13  1 19  9 20 15 21 16 14  5  8 18  2 17 10  6  3  7  0 12 11],300,0.2,2048,300,0.2
67,128,565.4561863566939,7.198130891999995,[21 16  3  6 11 10  9 14  8  2 18 19  1  4 13  7 17  0 12 15  5 20],300,0.2,2048,300,0.2
68,256,507.80834509974864,14.132398333999987,[21 16  6 11 10  3  7  9  5 20 14  8  2 18 19  1  4 13 17  0 12 15],300,0.2,2048,300,0.2
69,512,482.9961665424922,28.219188196999994,[16 21  6 11 10  3  7  9  5 20 14  8 18  2 19  1 13  4 17  0 12 15],300,0.2,2048,300,0.2
70,1024,482.9961665424922,56.151816962,[16 21  6 11 10  3  7  9  5 20 14  8 18  2 19  1 13  4 17  0 12 15],300,0.2,2048,300,0.2
71,2048,482.38965108156253,113.67162787800001,[16 21  6 11 10  3  7  0  9  5 20 14  8 18  2 19  1 13  4 17 12 15],300,0.2,2048,300,0.2
72,0,1211.1046030266018,0.016529276000028403,[ 1  5  2 21 19 12 11  0 20  6 18 16 13 10 17  9  8 14  7  3  4 15],300,0.4,2048,300,0.4
73,2,867.0642858219901,0.12714434600002278,[ 2 13 10  6  8 20  5 21  7 15 14 18  9  3 16 11  4  1 19  0 12 17],300,0.4,2048,300,0.4
74,4,851.7179237998469,0.2389819719999764,[ 5 20  9 14  8 15 16  4  6 17  2 13 11  7  1 18 19  3 21  0 10 12],300,0.4,2048,300,0.4
75,8,748.4659204566673,0.46209076500002766,[11  2 19  1 18  8 20  9  6 10 13  4  3 17  0 15 14  5 12 21  7 16],300,0.4,2048,300,0.4
76,16,708.0648916525014,0.9187421780000022,[14  5 20 15  9 12  7  3 17  8 19  1 13 21 11  6 10  0 16  4 18  2],300,0.4,2048,300,0.4
77,32,649.243195092047,1.8177797929999997,[ 7 10  3  5 15  0  2 18 17 19  1 13  4  6 11 21 16 20  9  8 14 12],300,0.4,2048,300,0.4
78,64,603.9688501486216,3.6545661139999766,[ 0 17  7 10  3 18  8  2  5 15 20  9 14 19  1 13  4  6 11 21 16 12],300,0.4,2048,300,0.4
79,128,549.8578574570552,7.308373370000027,[15 12  0  7  3 10 11  1 19  2 18  8  9 14  5 20 17 13  4  6 21 16],300,0.4,2048,300,0.4
80,256,515.1259769530503,14.524510325999984,[11  7  0 17  1 19  2 18  8  9 20 14  5 15 12  3 10  4 13  6 21 16],300,0.4,2048,300,0.4
81,512,477.16906890457614,29.22692659500001,[21 16  3  7  0 17  1 19  2 18  8 14  9  5 20 15 12 10 13  4 11  6],300,0.4,2048,300,0.4
82,1024,471.98197813915806,57.318388551,[21 16  7  0 17  1 19  2 18  8  9  5 14 20 15 12  3 10  4 13 11  6],300,0.4,2048,300,0.4
83,2048,471.59467991554527,114.585078485,[11  6 21 16  7  0 17  1 19  2 18  8 14 20  5  9 15 12  3 10  4 13],300,0.4,2048,300,0.4
84,0,1211.1046030266018,0.01681004900001426,[ 1  5  2 21 19 12 11  0 20  6 18 16 13 10 17  9  8 14  7  3  4 15],300,0.6,2048,300,0.6
85,2,867.0145865398099,0.12538380699999152,[16 20  5 10  9 15 11  7  0 19  1 13  6 17  4  3 21 12 18  8  2 14],300,0.6,2048,300,0.6
86,4,822.2287249441633,0.2373150490000171,[18 19  1 11 12 17 14 20  5 15  2  8  7  6 21 13  0 10  4 16  3  9],300,0.6,2048,300,0.6
87,8,794.5944035039677,0.4525647670000126,[ 4 13  1 18  2  7 10  5 14  0 19  8 16 21 17 20  9 12 15 11  6  3],300,0.6,2048,300,0.6
88,16,750.8593552496193,0.8847915669999793,[12 16 11  4 13  5 20  9  0  7 10  2 18  8 19  1 17 15 14  6  3 21],300,0.6,2048,300,0.6
89,32,662.6239154465069,1.7425114110000095,[18 19 17  7  3  6 21 13 10  0 12 14  5 20 15 16 11  4  1  9  8  2],300,0.6,2048,300,0.6
90,64,584.52060457568,3.4686538419999806,[18 19  1  4  3 17  7 11  6 21 13 10 16  0 12 15 20  5  9 14  8  2],300,0.6,2048,300,0.6
91,128,473.5734733947128,6.931611594000003,[ 8 18  2 19  1 17  7 16 21  6 11  4 13 10  3  0 12 15 20  5  9 14],300,0.6,2048,300,0.6
92,256,469.10875623814223,14.104487855999992,[ 8 18  2 19  1 17  3 16 21  6 11 13  4 10  7  0 12 15 20  5  9 14],300,0.6,2048,300,0.6
93,512,468.73757149431685,28.322664444999987,[14  8 18  2 19  1 17  3 16 21  6 11 13  4 10  7  0 12 15  9  5 20],300,0.6,2048,300,0.6
94,1024,468.73757149431685,59.24204328600001,[14  8 18  2 19  1 17  3 16 21  6 11 13  4 10  7  0 12 15  9  5 20],300,0.6,2048,300,0.6
95,2048,468.73757149431685,74.05656345699998,[14  8 18  2 19  1 17  3 16 21  6 11 13  4 10  7  0 12 15  9  5 20],300,0.6,2048,300,0.6
96,0,1211.1046030266018,0.024551353999981984,[ 1  5  2 21 19 12 11  0 20  6 18 16 13 10 17  9  8 14  7  3  4 15],300,0.8,2048,300,0.8
97,2,873.2510321921434,0.1622524750000025,[14  9  2  6 11  4 19  7  1 17 13  5  0 18  8 12 20 15 21 16  3 10],300,0.8,2048,300,0.8
98,4,833.5521368153383,0.2956020839999951,[17  6  7 21 13 10  0 18  2  5  9 12 20 14 19  8 15 16 11  4  3  1],300,0.8,2048,300,0.8
99,8,792.6212522538412,0.5618595679999885,[11  6  5 14  9 12 20  7  3 17  8 19  1  0  2 18  4 16 15 21 10 13],300,0.8,2048,300,0.8
100,16,746.7227698818973,1.0839298109999618,[16 21  9  5 12  1  4 13  3 15 17 19 18  8  2 14 20  6  7 11 10  0],300,0.8,2048,300,0.8
101,32,635.2922034372478,2.0269574449999936,[16 21 12 15  3  5 20  9 17  4 11  6 13  1 19 18  8  2 14  7  0 10],300,0.8,2048,300,0.8
102,64,537.608385569946,3.8843155779999847,[11  6 16 21 15 12  5  9 14 20  7 17  4 13  1 19 18  8  2  0  3 10],300,0.8,2048,300,0.8
103,128,510.7872448849164,7.562590779999994,[11  6 16 21 15 12  5  9 14 20  7 10  4 13  1 19 18  8  2 17  0  3],300,0.8,2048,300,0.8
104,256,496.5047732457673,14.502266705000011,[11  6 16 21 15 12  5 20 14  9  0  7  3  4 13  1 19 18  8  2 17 10],300,0.8,2048,300,0.8
105,512,490.3187454807385,27.603462822999973,[10 11  6 21 16 12 15  5 20 14  9  0  7  3  4 13  1 19 18  8  2 17],300,0.8,2048,300,0.8
106,1024,490.3187454807385,53.669601753999984,[10 11  6 21 16 12 15  5 20 14  9  0  7  3  4 13  1 19 18  8  2 17],300,0.8,2048,300,0.8
107,2048,490.3187454807385,72.22845609300003,[10 11  6 21 16 12 15  5 20 14  9  0  7  3  4 13  1 19 18  8  2 17],300,0.8,2048,300,0.8
108,0,1211.1046030266018,0.017708106999975826,[ 1  5  2 21 19 12 11  0 20  6 18 16 13 10 17  9  8 14  7  3  4 15],300,1.0,2048,300,1.0
109,2,872.1247827609625,0.12614600799997788,[ 7  3 11 13 16  2  8  9 14 19  1  6  0 12 17 20 15  5 18 21 10  4],300,1.0,2048,300,1.0
110,4,838.578062071179,0.2370147960000395,[18 19  1 11 12 17  2 14 16 21 13 20  7  4  6 10  3  5  9 15  0  8],300,1.0,2048,300,1.0
111,8,807.1414544622565,0.4594920470000261,[19 13 10  3 11  6  7 14 16  0 12 15 21 17  2  5  9  8 18 20  4  1],300,1.0,2048,300,1.0
112,16,719.1990481278349,0.8836348869999711,[16 21 12 15 17  2  8 18 14  9  4  3  1 19  5 20  7  6 11 13 10  0],300,1.0,2048,300,1.0
113,32,630.988423133846,1.7373782500000061,[16 21  7  3 11 13  1 19 15  9 17  2  8 18 14 20  5 12  0 10  6  4],300,1.0,2048,300,1.0
114,64,551.102949634421,3.425484636999954,[16 21 12 15 17  7  3 11 13  1 19  2  8 18 14 20  5  9  0 10  4  6],300,1.0,2048,300,1.0
115,128,551.102949634421,6.816678195000009,[16 21 12 15 17  7  3 11 13  1 19  2  8 18 14 20  5  9  0 10  4  6],300,1.0,2048,300,1.0
116,256,551.102949634421,13.399647417999972,[16 21 12 15 17  7  3 11 13  1 19  2  8 18 14 20  5  9  0 10  4  6],300,1.0,2048,300,1.0
117,512,551.102949634421,26.610558934999972,[16 21 12 15 17  7  3 11 13  1 19  2  8 18 14 20  5  9  0 10  4  6],300,1.0,2048,300,1.0
118,1024,551.102949634421,54.443815051,[16 21 12 15 17  7  3 11 13  1 19  2  8 18 14 20  5  9  0 10  4  6],300,1.0,2048,300,1.0
119,2048,551.102949634421,55.89528391600004,[16 21 12 15 17  7  3 11 13  1 19  2  8 18 14 20  5  9  0 10  4  6],300,1.0,2048,300,1.0
120,0,1211.1046030266018,0.03256377100001373,[ 1  5  2 21 19 12 11  0 20  6 18 16 13 10 17  9  8 14  7  3  4 15],500,0.2,2048,500,0.2
121,2,858.3768201740698,0.2440011159999358,[19  2 18  7 12  8 10  4  1  5 14  9 16 15 21 20  0  6  3 11 13 17],500,0.2,2048,500,0.2
122,4,806.6332025113383,0.4526521139999886,[ 2 18  8 12  7  0 19  4  1  5 14  9 10 15 16 13 11  6  3 21 20 17],500,0.2,2048,500,0.2
123,8,776.5399643860779,0.8724272029999156,[ 0 16 21 12 15  3 14 20 10  9 18 17  5  8  2 19  1  6 13  4 11  7],500,0.2,2048,500,0.2
124,16,699.8881861086953,1.692752458999962,[11 13  1  2  8 14  9 12 15  7 17  3 10  0 18 19  5 20 21  6  4 16],500,0.2,2048,500,0.2
125,32,633.7345995533922,3.319906666999941,[14  9 12 15  7 17  8 18 19  1  2  5 20  6 11 13  4 10 21 16  3  0],500,0.2,2048,500,0.2
126,64,562.6919135336279,6.514948861999983,[ 4 13  1 19  2 18  8 14 20 17  7  5  9 12  0 15 21 11  6  3 16 10],500,0.2,2048,500,0.2
127,128,512.6038629125211,12.677267490999952,[ 4 13  1 19  2 18  8 14 20 15  7  5  9 12  0 17 10  3 16 21 11  6],500,0.2,2048,500,0.2
128,256,460.82824126588366,24.678479232999962,[ 4 13  1 19  2 18  8 14 20  5  9 17  0 12 15  7 10  3 16 21  6 11],500,0.2,2048,500,0.2
129,512,450.0447724990245,49.304891641999916,[ 4 13  1 19  2 18  8 14 20  5  9 15 12  0 17  7 10  3 16 21  6 11],500,0.2,2048,500,0.2
130,1024,450.0447724990245,100.15333132199999,[ 4 13  1 19  2 18  8 14 20  5  9 15 12  0 17  7 10  3 16 21  6 11],500,0.2,2048,500,0.2
131,2048,450.0447724990245,150.33096768399992,[ 4 13  1 19  2 18  8 14 20  5  9 15 12  0 17  7 10  3 16 21  6 11],500,0.2,2048,500,0.2
132,0,1211.1046030266018,0.03551322800001344,[ 1  5  2 21 19 12 11  0 20  6 18 16 13 10 17  9  8 14  7  3  4 15],500,0.4,2048,500,0.4
