,Iteration,Fitness,Time,State,schedule,max_iters,Temperature,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value
43,8,1104.0,0.005525000000034197,"[ 7  0  3 19  7 14  8 14 10  8  7  6  4 16  7 12  0 11  6 19 12  5 16 11
  2  9 14  6  8 14  9 13  5  5 19]",100,2048,100,geometric,100,0.99,0.001,99.99444734360658
44,16,1054.0,0.006964729000173975,"[ 7  0  3 19  7 14  8 14 10 18  7  6  3 16  7 12 13 11  3  1 16  5 16 11
  2  9 14  6  8 11  9  2  5  5 19]",100,2048,100,geometric,100,0.99,0.001,99.9930004584213
45,32,1108.0,0.009155684999996083,"[ 7  0  3 12 12 16 13 14 12  4  7  6 10 16  7 12 13 10  3  1 16  5 16 14
  2  9 14  8 16  6  9  2  5  5 19]",100,2048,100,geometric,100,0.99,0.001,99.99079865242807
46,64,1222.0,0.013326939000080529,"[12 15  3  7 12 11 13  9 12  4  9 11 10  9 16 12 17 10  9  1 16 12 16 14
  2 18 14 15 16  6  9  8  1 19 16]",100,2048,100,geometric,100,0.99,0.001,99.98660687567398
47,128,1297.0,0.02155385700007173,"[ 2 15  8  7 15 16 13 11  6  9  8  1 17 13  4 11  7  1 18  8 18 19 19 17
 17 18 18 15  9 10 15  8  1 15  3]",100,2048,100,geometric,100,0.99,0.001,99.97833999593875
48,256,1518.0,0.03962951600010456,"[13 15  5  5 14 15 13 18 11  9 17  0 17 14 16 11  7 18 16  8 18 16 18 16
 18 10 18 12  9 11  9 19 19 15  3]",100,2048,100,geometric,100,0.99,0.001,99.96017893613983
49,512,1535.0,0.07584088199996586,"[ 7 15 11  7 17 15 17 18 11  9 17  0 17 13 16 15  0 18 16  6 18 17 18 16
 18 11 19 13  9 12 10 19 17 15  3]",100,2048,100,geometric,100,0.99,0.001,99.92380640851744
50,1024,1535.0,0.16229972400014958,"[ 7 15 11  7 17 15 17 18 11  9 17  0 17 13 16 15  0 18 16  6 18 17 18 16
 18 11 19 13  9 12 10 19 17 15  3]",100,2048,100,geometric,100,0.99,0.001,99.83701628942795
51,2048,1535.0,0.16229972400014958,"[ 7 15 11  7 17 15 17 18 11  9 17  0 17 13 16 15  0 18 16  6 18 17 18 16
 18 11 19 13  9 12 10 19 17 15  3]",100,2048,100,geometric,100,0.99,0.001,99.83701628942795
52,0,1064.0,0.00011068799994973233,"[15  4  3 19  7 14  8 14 10  8  7  6  4 16  7 12  0 11  6 19 12  5 16  0
  2  9 14  6  4 14  9  3  3  8 19]",250,2048,250,geometric,250,0.99,0.001,249.99972188726107
