,Iteration,Fitness,Time,State,pop_size,mutation_prob,max_iters,Population Size,Mutation Rate
53,32,1705.0,0.44872439400000985,"[ 0 13 10 17 16 19 16 19 18  0 18  4 18 15 17 16 15 18  7  1 19 19 16  2
 19  8 15  7 17 18  9 16 19 18 17]",100,1.0,2048,100,1.0
54,64,1762.0,0.8697238980000037,"[ 0 14  0 17 18 19 17 19 18  0 18  1 18 15 19 16 15 18  7 19 19 19 17  2
 19  8 19 12  7 18  9 16 18 16 17]",100,1.0,2048,100,1.0
55,128,1766.0,1.7372868630000085,"[ 0 14  0 17 18 19 17 19 18  0 18  1 18 15 19 16 15 18  7 19 19 19 17  2
 19  8 19 12  7 18  9 16 19 16 17]",100,1.0,2048,100,1.0
56,256,1766.0,3.412230578000006,"[ 0 14  0 17 18 19 17 19 18  0 18  1 18 15 19 16 15 18  7 19 19 19 17  2
 19  8 19 12  7 18  9 16 19 16 17]",100,1.0,2048,100,1.0
57,512,1766.0,6.788620535000007,"[ 0 14  0 17 18 19 17 19 18  0 18  1 18 15 19 16 15 18  7 19 19 19 17  2
 19  8 19 12  7 18  9 16 19 16 17]",100,1.0,2048,100,1.0
58,1024,1766.0,13.507577342000005,"[ 0 14  0 17 18 19 17 19 18  0 18  1 18 15 19 16 15 18  7 19 19 19 17  2
 19  8 19 12  7 18  9 16 19 16 17]",100,1.0,2048,100,1.0
59,2048,1766.0,14.098748348,"[ 0 14  0 17 18 19 17 19 18  0 18  1 18 15 19 16 15 18  7 19 19 19 17  2
 19  8 19 12  7 18  9 16 19 16 17]",100,1.0,2048,100,1.0
60,0,1064.0,0.016090492000003564,"[15  4  3 19  7 14  8 14 10  8  7  6  4 16  7 12  0 11  6 19 12  5 16  0
  2  9 14  6  4 14  9  3  3  8 19]",300,0.2,2048,300,0.2
61,2,1404.0,0.10981988900000772,"[ 7 14 16 14 14 17 17 17 17  0 11  8  5 17  7  8 17 11 10 15 18  9 13  2
 18 12 18  0 12  9 17  9 13 12 11]",300,0.2,2048,300,0.2
62,4,1530.0,0.19503637200000412,"[ 6 16 16 17 14 10 15  6 19  4 12  3 18  8 12 18  7 16 17 14 17 16 16 13
 19  4 15  7  2 18 13  4 14 19 18]",300,0.2,2048,300,0.2
63,8,1530.0,0.3853140070000052,"[ 6 16 16 17 14 10 15  6 19  4 12  3 18  8 12 18  7 16 17 14 17 16 16 13
 19  4 15  7  2 18 13  4 14 19 18]",300,0.2,2048,300,0.2
64,16,1614.0,0.7543483420000001,"[ 3 14  1 12  7 19 18 13 19  0 18  1 16 12 17 19 11 13 11 15 18 18 14 16
 19 16 14  6  3 17 18  9 18 16 16]",300,0.2,2048,300,0.2
65,32,1719.0,1.4832990260000116,"[ 5  5  2 19 19 19 18 14 19  0 18  3 19 18 19 18 18 13  2 10 18 18 16 11
 19 17 14  0 15 17 14  0 19 14 16]",300,0.2,2048,300,0.2
