,Iteration,Fitness,Time,State,schedule,max_iters,Temperature,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value
48,256,633.7454793118648,0.04863786100008838,[ 6 11 10 12 15  5 20  9 14  8  2 19 18  0  7 17  1 16 21 13  4  3],100,2048,100,geometric,100,0.99,0.001,99.95112926181268
49,512,537.3245919418123,0.0837513310000304,[11 10  7 12 15  9  5 20 14  8 18  2 19  1 17  0 13  3 16 21  6  4],100,2048,100,geometric,100,0.99,0.001,99.91586251497563
50,1024,473.8288057025905,0.16763971599993965,[13  4 10 12 15  9  5 20 14  8 18  2 19  1 17  0  7  3 16 21  6 11],100,2048,100,geometric,100,0.99,0.001,99.83165830902789
51,2048,473.8288057025905,0.3950410350000766,[13  4 10 12 15  9  5 20 14  8 18  2 19  1 17  0  7  3 16 21  6 11],100,2048,100,geometric,100,0.99,0.001,99.60375761233936
52,0,1211.1046030266018,9.735599996929523e-05,[ 1  5  2 21 19 12 11  0 20  6 18 16 13 10 17  9  8 14  7  3  4 15],250,2048,250,geometric,250,0.99,0.001,249.9997553849954
53,1,1210.120124734893,0.000418788999922981,[ 1  5  2 21 19 12 11  0 20  6 18 16 13 10 17  9  8 14  4  3  7 15],250,2048,250,geometric,250,0.99,0.001,249.99894775968917
54,2,1210.120124734893,0.01352835599982427,[ 1  5  2 21 19 12 11  0 20  6 18 16 13 10 17  9  8 14  4  3  7 15],250,2048,250,geometric,250,0.99,0.001,249.96601118035318
55,4,1228.1001137540952,0.014058091999913813,[17  5  2 21 19 12 11  0 10  6 18 16 13 20  1  9  8 14  4  3  7 15],250,2048,250,geometric,250,0.99,0.001,249.9646803586745
56,8,1189.8014897992753,0.014888380999991568,[17  5  0 21  7 12 11  2 10  6 18  8 13 20  1  9 16 14 15  3 19  4],250,2048,250,geometric,250,0.99,0.001,249.96259449128215
57,16,1117.1918029711437,0.016337594999868088,[17  5 10 21  7 12 11  2  0  6  9 15 20 16 14 18 13  1  8  3 19  4],250,2048,250,geometric,250,0.99,0.001,249.95895379075466
58,32,1001.7165895488166,0.01898413399999299,[17 18 12  7 16 21  3  2  9 20  0 15  6 19 10  8  5  1  4 13 11 14],250,2048,250,geometric,250,0.99,0.001,249.95230531949687
59,64,1127.0188256451972,0.024140389999956824,[15  4  7 13 17  1  6  8 12  9 11 19 20 14  2  3  5 10 21 16 18  0],250,2048,250,geometric,250,0.99,0.001,249.9393526006205
60,128,969.8887361932678,0.034014825999975074,[16  7 15 20 14  1 12 21 17 13  6 11  3  9 19  8  4 10  0  2  5 18],250,2048,250,geometric,250,0.99,0.001,249.9145495005797
61,256,819.3266452835703,0.05310686799998621,[ 3 16  6 21 12 18 17 13  7 10  4 11  8 14  9  5 19  1  2 15 20  0],250,2048,250,geometric,250,0.99,0.001,249.86660013883005
62,512,640.0815295681444,0.08936514799984252,[ 6 16 21 20  5 15  3  4 13 10  7  0  9  8 17  1 19 18  2 14 12 11],250,2048,250,geometric,250,0.99,0.001,249.77556336619156
63,1024,621.5927844652003,0.1745764899999358,[ 6 16 21 20  5 15  3 10  4 13  7  0  8  2 17  1 19 18 14  9 12 11],250,2048,250,geometric,250,0.99,0.001,249.56174649263446
64,2048,602.3773194438597,0.40580847299997913,[ 6 16 21 20  5 15  3 10  4 13  7  0 17  1 18 19  2  8 14  9 12 11],250,2048,250,geometric,250,0.99,0.001,248.98244859657834
65,0,1211.1046030266018,0.00010067700009130931,[ 1  5  2 21 19 12 11  0 20  6 18 16 13 10 17  9  8 14  7  3  4 15],500,2048,500,geometric,500,0.99,0.001,499.99949408142413
66,1,1210.120124734893,0.00042652599995562923,[ 1  5  2 21 19 12 11  0 20  6 18 16 13 10 17  9  8 14  4  3  7 15],500,2048,500,geometric,500,0.99,0.001,499.99785663981913
67,2,1234.3281782612792,0.005460265000010622,[ 1  5  3 21 19 12 11  0 20  6 18 16 13 10 17  9  8 14  4  2  7 15],500,2048,500,geometric,500,0.99,0.001,499.97256200432156
68,4,1252.3081672804815,0.005982470999924772,[17  5  3 21 19 12 11  0 10  6 18 16 13 20  1  9  8 14  4  2  7 15],500,2048,500,geometric,500,0.99,0.001,499.96993798236963
69,8,1232.867674753482,0.0068132779999814375,[17  5  0 21 19 12 11  3 16  6  2  8 13 20  1  9 10 14  4 18  7 15],500,2048,500,geometric,500,0.99,0.001,499.96576330612316
70,16,1039.6542732342214,0.008241463000103977,[17 14  0  5 19 13  4  3 16  6  8  2 10 20  1  9 18 21 11 15  7 12],500,2048,500,geometric,500,0.99,0.001,499.95858697959534
71,32,1130.5759761451666,0.01088894800000162,[17  9  7 19  4 18 20 14 12  6  8  1 10  3  5 11  2 21 15 16  0 13],500,2048,500,geometric,500,0.99,0.001,499.94528420179137
72,64,1081.7323251470468,0.01635281199992278,[ 3 11 14 18  5 19  4 21 12 10 13  6  0 17 16  7  2 20  8 15  1  9],500,2048,500,geometric,500,0.99,0.001,499.9178311260894
73,128,1010.1209229535642,0.02664812900002289,[ 5 21 13 10 14  9 20  1 12 19  7  8  2  3 18  4  6 11 16 15 17  0],500,2048,500,geometric,500,0.99,0.001,499.8661066074829
74,256,843.5028503255115,0.04617550400007531,[11  4 13  7 10  0  2  6 21 16  5  1 17 19 18 20  8 12 15  9 14  3],500,2048,500,geometric,500,0.99,0.001,499.76801417237374
75,512,659.310194217605,0.08491992499989465,[11 10  7 12  9  5 20 15  1 13  4 17 19  2 18 14  8  0 21  3 16  6],500,2048,500,geometric,500,0.99,0.001,499.57344516912013
76,1024,506.7331512303067,0.17135469999993802,[21 16 15 20 14  5 12  0 10  4 13  1 19  2 18  8  9 17  7  3 11  6],500,2048,500,geometric,500,0.99,0.001,499.1396549013444
77,2048,506.7331512303067,0.40094060100000206,[21 16 15 20 14  5 12  0 10  4 13  1 19  2 18  8  9 17  7  3 11  6],500,2048,500,geometric,500,0.99,0.001,497.98926009850203
